Book Name,Author,Rating,Number of Reviews,Price,Rank,Genre,Listening Time (minutes),cleaned_description,cluster
Think Like a Monk: The Secret of How to Harness the Power of Positivity and Be Happy Now,Jay Shetty,4.9,342.0,10080.0,1,Society & Culture (Books),654.0,over past three year jay shetty become one world popular influencers one clip watched video facebook last year million view his social medium following total million produced viral video amassed five billion view podcast on purpose consistently ranked world number one podcast,3
Ikigai: The Japanese Secret to a Long and Happy Life,Héctor García,4.6,3670.0,615.0,2,Personal Success,203.0,brought penguin,4
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,4.4,20240.0,10378.0,3,Personal Development & Self-Help,317.0,in guide superstar blogger cut crap show u stop trying positive time truly become better happier people,3
Atomic Habits: An Easy and Proven Way to Build Good Habits and Break Bad Ones,James Clear,4.6,4646.0,888.0,5,Personal Success,335.0,brought penguin,4
Life's Amazing Secrets: How to Find Balance and Purpose in Your Life,Gaur Gopal Das,4.6,4305.0,1005.0,6,Spiritualism,385.0,stop going life start growing life,3
Extraordinary Leadership,Robin Sharma,4.1,179.0,0.0,1,ess Careers,66.0,by completing purchase agree audible condition use amazon privacy notice applicable audible recurring payment term,4
Sapiens,Yuval Noah Harari,4.6,20078.5,1093.0,4,Anthropology (Books),918.0,fire gave u power farming made u hungry money gave u purpose science made u deadly,3
Sapiens,Yuval Noah Harari,4.6,10161.5,1132.0,72,Anthropology (Books),1302.0,new york time best seller,2
The Intelligent Investor Rev Ed.,Benjamin Graham,4.4,9296.0,18290.0,7,Analysis & Strategy,1068.0,the classic text annotated update graham timeless wisdom today market condition,3
Rich Dad Poor Dad: What the Rich Teach Their Kids About Money - That the Poor and Middle Class Do Not!,Robert T. Kiyosaki,4.5,22029.5,837.0,9,Personal Development & Self-Help,369.0,rich dad poor dad,3
The 5AM Club: Own Your Morning. Elevate Your Life.,Robin Sharma,4.4,5099.0,8735.0,8,g & Wellness,664.0,legendary leadership elite performance expert robin sharma introduced the club concept year ago based revolutionary morning routine helped client maximise productivity activate best health bulletproof serenity age overwhelming complexity,3
Dream With Your Eyes Open: An Entrepreneurial Journey,Ronnie Screwvala,3.6,43.0,0.0,2,ess Management,439.0,utv founder pioneer medium industry ronnie screwvala one india successful entrepreneur an avid philanthropist penned dream your eye open an entrepreneurial journey one inspiring entrepreneurial book pictured relaxed content cover page book screwvala provides relentless pursuit entrepreneurial glory describes others learn,3
Influence: The Psychology of Persuasion,Robert B. Cialdini,4.4,3780.5,12356.0,11,Earth Sciences Books,606.0,influence classic book persuasion explains psychology people say yes apply understanding,3
The Sandman,Neil Gaiman,5.0,1.0,1171.0,16,Fantasy (Books),654.0,please note this content kid it mature audience just like original graphic novel audio adaptation contains explicit language graphic violence well strong sexual content theme discretion advised,3
The Alchemist: A Fable About Following Your Dream,Paulo Coelho,4.6,28168.0,10378.0,10,"Crime, Thriller & Mystery (Books)",240.0,by completing purchase agree audible condition use amazon privacy notice applicable audible recurring payment term,4
How to Win Friends and Influence People,Dale Carnegie,4.5,20936.0,668.0,18,Personal Development & Self-Help,485.0,how win friend influence people book pioneer genre written dale carnegie published sold million copy it edited several time,3
"Thinking, Fast and Slow",Daniel Kahneman,4.4,9819.5,1093.0,13,Personal Success,1201.0,brought penguin,4
Sherlock Holmes: The Definitive Collection,Arthur Conan Doyle,5.0,6.0,3037.0,15,"Crime, Thriller & Mystery (Books)",4317.0,now updated include chapter name information easily find favourite story novel,2
Becoming,Michelle Obama,4.6,13894.5,1093.0,12,Biographies & Autobiographies (Books),1143.0,penguin present audiobook edition becoming michelle obama,0
Just Do It: The Nike Spirit in the Corporate World,Donald Katz,4.0,37.5,0.0,3,Biographies of Actors,840.0,the protagonist just do it phil knight reclusive billionaire started operation importing japanese running shoe built billion company irreverent unpredictable leery sport establishment knight created muscular jock culture business place employee routinely took two hour lunch work strategized late night holy war competitor reebok adidas to outsider nike cult insider believed furthering company mission improve performance serious athlete,3
The Warren Buffett Way: 3rd Edition,Robert Hagstrom,4.2,72.0,1005.0,17,ance,631.0,warren buffett remains one watched figure business today he become billionaire investment sage buying chunk company holding onto managing business eventually reaping huge profit investor berkshire hathaway the first two edition the warren buffett way gave investor first look innovative investment business strategy behind spectacular success living legend warren buffett tracing warren buffett career beginning hagstrom told listener exactly starting initial investment buffett built business empire estimated net worth billion the third edition the warren buffett way focus timeless principle strategy behind buffett extraordinary investment success there new chapter important distinction investment trading examination successful disciple warren buffett some less important material deleted overall focus create edition stand test time distilling buffett success formula way provide value listener decade come,3
21 Lessons for the 21st Century,Yuval Noah Harari,4.4,2823.0,1093.0,14,Political Theory,701.0,brought penguin,4
"Let's Talk Money: You've Worked Hard for It, Now Make It Work for You",Monika Halan,4.4,419.0,668.0,19,Personal Development & Self-Help,356.0,we work hard earn money but regardless much earn money worry never go away bill rent emis medical cost vacation kid education somewhere back head niggling thought retirement,3
Elon Musk,Ashlee Vance,4.5,6473.5,888.0,23,ess Leaders,803.0,brought penguin,4
The Monk Who Sold His Ferrari,Robin Sharma,4.6,7579.0,351.0,22,Spirituality (Books),160.0,author robin sharma read international allowing gain wisdom lesson original book commute this abridged audiobook one sharma leadership international audio product,3
The Power of Your Subconscious Mind,Joseph Murphy,4.5,18355.5,99.0,30,"d, Body & Spirit",433.0,the power your subconscious mind open world success happiness prosperity peace it one brilliant beloved spiritual work time help heal banish fear sleep better enjoy better relationship feel happier the technique simple result come quickly you improve relationship finance physical,3
Raavan: Enemy of Aryavarta,Amish Tripathi,4.5,4480.0,836.0,39,Fantasy (Books),692.0,without darkness light purpose,3
"The Power of Habit: Why We Do What We Do, and How to Change",Charles Duhigg,4.5,6717.5,888.0,24,Personal Success,653.0,brought penguin,4
Can't Hurt Me: Master Your Mind and Defy the Odds,David Goggins,4.8,11274.5,836.0,35,Biographies & Autobiographies (Books),817.0,for david goggins childhood nightmare poverty prejudice physical abuse colored day haunted night but mental toughness hard work goggins transformed depressed overweight young man future u armed force icon one world top endurance athlete the man history complete elite training navy seal army ranger air force tactical air controller went set record numerous endurance event inspiring outside magazine name the fittest real man america,3
Zero to One,Peter Thiel,4.4,5318.5,615.0,25,Organisational Behaviour,290.0,what valuable company nobody building the next bill gate build operating system the next larry page sergey brin wo make search engine if copying guy learning it easier copy model make something new already know take world adding something familiar,3
My Gita,Devdutt Pattanaik,4.2,1242.5,501.0,26,Theology & Philosophy of Religion,375.0,in my gita acclaimed mythologist devdutt pattanaik demystifies the bhagavad gita contemporary reader his unique approach thematic rather verse verse make ancient treatise eminently accessible,3
"Harry Potter and the Philosopher's Stone, Book 1",J.K. Rowling,4.7,11921.0,999.0,29,Fiction on Friendship for Children,573.0,turning envelope hand trembling harry saw purple wax seal bearing coat arm lion eagle badger snake surrounding large letter h,3
Chanakya Neeti,Acharya Chanakya,4.4,92.0,668.0,28,Biographies & Autobiographies (Books),302.0,chanakya indian teacher philosopher royal advisor he managed first maurya emperor chandragupta rise power young age he widely credited played important role establishment maurya empire first empire archaeologically recorded history rule indian subcontinent,3
The Rudest Book Ever: Insanely Practical Ideas to Free Your Mind from All Bulls--t,Shwetabh Gangwar,4.5,2077.5,501.0,44,Personal Development & Self-Help,291.0,shwetabh gangwar professional ace for past five year people world contacted trouble worked,3
The Tatas: How a Family Built a Business and a Nation,Girish Kuber,4.4,53.0,668.0,34,Biographies & Autobiographies (Books),581.0,winner gaja capital business book prize,1
Hyperfocus,Chris Bailey,4.5,156.0,323.0,31,Time Management & Productivity,399.0,our attention never overwhelmed demand today never busy accomplishing little grown uncomfortable boredom lack stimulation distraction,3
"Limitless: Upgrade Your Brain, Learn Anything Faster, and Unlock Your Exceptional Life",Jim Kwik,4.7,2397.5,750.0,36,Personal Success,777.0,an instant new york time best seller number one wall street journal best seller,2
Meri Gita,Devdutt Pattanaik,4.2,129.0,668.0,40,Christianity (Books),459.0,in meri gita acclaimed mythologist devdutt pattanaik demystifies the bhagavad gita contemporary listener his unique approach thematic rather make ancient treatise eminently world seems spellbound argument dialogue devdutt highlight krishna nudge arjuna understand rather judge relationship this becomes relevant today increasingly indulging isolating self even selfies we forget live ecosystem others nourish food love meaning even fight,3
The Unusual Billionaires,Saurabh Mukherjea,4.4,287.5,1005.0,20,Essays (Books),552.0,what make company truly outstanding,3
The Tales of Beedle the Bard,J.K. Rowling,4.6,3699.5,652.0,55,Fairy Tale Collections & Anthologies for Children,95.0,written rowling read sally mortemore warwick davis evanna lynch jason isaac bonnie wright noma dumezweni jude law,3
No Rules Rules: Netflix and the Culture of Reinvention,Reed Hastings,4.1,9.5,888.0,27,Analysis & Strategy,582.0,hard work irrelevant be radically honest adequate performance get generous severance and never ever try please bos these ground rule work netflix they part unique cultural experiment explains company transformed lightning speed dvd service streaming superpower million fervent subscriber market capitalisation bigger disney,3
Think and Grow Rich,Napoleon Hill,4.5,22389.0,166.0,38,Economics Books,615.0,by completing purchase agree audible condition use amazon privacy notice applicable audible recurring payment term,4
Inglorious Empire: What the British Did to India,Shashi Tharoor,4.5,302.5,752.0,33,Colonialism & Post-Colonialism,633.0,penguin present audiobook edition inglorious empire written read shashi tharoor,0
Talking to Strangers: What We Should Know About the People We Don’t Know,Malcolm Gladwell,4.5,4285.0,1093.0,29,Personal Development & Self-Help,522.0,brought penguin,4
"Harry Potter and the Order of the Phoenix, Book 5",J.K. Rowling,4.7,5546.0,1599.0,75,Fiction on Orphans & Foster Homes for Children,1818.0,sharing dark lord thought emotion the headmaster think inadvisable continue he wish teach close mind dark lord,3
"Harry Potter and the Half-Blood Prince, Book 6",J.K. Rowling,4.7,7065.5,1599.0,78,Fiction on Orphans & Foster Homes for Children,1287.0,there hanging sky school blazing green skull serpent tongue mark death eater left behind whenever entered building wherever murdered,3
"Harry Potter and the Goblet of Fire, Book 4",J.K. Rowling,4.7,5451.0,1599.0,46,Fiction on Orphans & Foster Homes for Children,1337.0,three task spaced throughout school year test champion many different way magical prowess daring power deduction course ability cope danger,3
The Lean Startup: How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses,Eric Ries,4.4,3363.5,1005.0,116,ess Management,518.0,most startup fail but many failure preventable the lean startup new approach adopted across globe changing way company built new product launched,3
Range: How Generalists Triumph in a Specialized World,David Epstein,4.6,1265.5,323.0,105,ess,617.0,range groundbreaking exhilarating exploration successful century david epstein acclaimed author the sport gene,3
Man's Search for Meaning,Viktor E. Frankl,4.4,12932.5,468.0,96,Textbooks & Study Guides,284.0,internationally renowned psychiatrist viktor frankl endured year unspeakable horror nazi death camp during partly suffering frankl developed revolutionary approach psychotherapy known logotherapy at core theory belief man primary motivational force search meaning,3
Everything Is F*cked: A Book About Hope,Mark Manson,4.3,2370.5,10378.0,85,Personal Success,422.0,from author international the subtle art not giving a f ck come counterintuitive guide problem hope,3
The Anarchy: The Relentless Rise of the East India Company,William Dalrymple,4.6,1371.0,1138.0,84,Colonialism & Post-Colonialism,943.0,bloomsbury present the anarchy william dalrymple read sid sagar,0
The Alchemist (Hindi Edition),Paulo Coelho,4.4,796.0,668.0,135,Personal Development,396.0,एक आम कई और बदल इस पर न हम सब बदल,3
The Girl on the Train,Paula Hawkins,4.0,70099.5,888.0,98,"Crime, Thriller & Mystery (Books)",657.0,rachel catch commuter train every morning she know wait signal time overlooking row back garden she even started feel like know people live one house jess jason call their life see perfect if rachel could happy,3
Wings of Fire,APJ Abdul Kalam,4.6,70.0,75.0,80,Biographies & Autobiographies (Books),75.0,we born divine fire u our effort give wing fire president kalam inspiring autobiography touched heart people world the book talk humble beginning small village tamil nadu ascent one powerful position country,3
"Tools of Titans: The Tactics, Routines, and Habits of Billionaires, Icons, and World-Class Performers",Tim Ferriss,4.4,3677.5,1506.0,102,Personal Success,1361.0,the latest groundbreaking tome tim ferriss new york time author the workweek,2
Sapiens,Yuval Noah Harari,4.6,10246.0,1132.0,4,Anthropology (Books),918.0,fire gave u power farming made u hungry money gave u purpose science made u deadly,3
Sapiens,Yuval Noah Harari,4.6,329.0,1171.0,72,Anthropology (Books),1302.0,new york time best seller,2
Everything is Figureoutable: How One Simple Belief Can Help Us Overcome Any Obstacle and Create Unstoppable Success,Marie Forleo,4.8,1866.5,888.0,82,Personal Success,474.0,brought penguin,4
Sochiye Aur Ameer Baniye [Think and Be Rich],Napoleon Hill,4.5,2.0,836.0,74,Personal Development & Self-Help,670.0,this hindi translation famous classic think grow rich napoleon hill book defines process listener achieve economic success success aspect life he asserts mind thought shape action lead success failure venture author reveals secret reader book give real shape dream aspiration right thought right action right inspiration get copy audiobook embark enriching experience inspire motivate work hard achieve goal,3
"Loaded: Money, Psychology, and How to Get Ahead Without Leaving Your Values Behind",Sarah Newcomb,4.45,62.5,586.0,56,Society,414.0,your most valuable asset is you loaded will teach you how to make the most of it,3
1984,George Orwell,4.5,17039.0,797.0,130,Literary Fiction,739.0,george orwell nightmare vision dystopian world become apt modern chaotic time casting pall oppressive dread first sentence classic audiobook take hold imagination stay long last four word uttered,3
Good Economics for Hard Times: Better Answers to Our Biggest Problems,Abhijit Banerjee,4.5,953.5,1093.0,77,Economic Conditions (Books),884.0,brought penguin,4
Poirot's Finest Cases: Eight Full-Cast BBC Radio Dramatisations,Agatha Christie,4.8,27.0,1093.0,-1,",            5 star,          ,            ,              81%,            ,",937.0,john moffatt star belgian detective hercule poirot,3
The Girl in Room 105,Chetan Bhagat,4.3,6640.5,568.0,79,Crime Thrillers,503.0,hi i keshav life screwed i hate job girlfriend left,3
Eat That Frog!,Brian Tracy,4.5,2087.5,351.0,57,ess Motivation & Self-Improvement,157.0,there enough time everything list never successful people try everything they learn focus important task make sure get done they eat frog there old saying first thing morning eat live frog satisfaction knowing done worst thing day for tracy eating frog metaphor tackling challenging task also one greatest positive impact life eat that frog show organize day zero critical task accomplish efficiently effectively,3
Zen: The Art of Simple Living,Shunmyo Masuno,4.7,254.5,752.0,114,Stress Management,157.0,penguin present audiobook edition zen shunmyo masuno,0
Anxious People,Fredrik Backman,4.55,20.0,888.0,100,Humour (Books),592.0,brought penguin,4
Outliers: The Story of Success,Malcolm Gladwell,4.3,4449.0,500.0,112,ess Motivation & Self-Improvement,438.0,in stunning new book malcolm gladwell take u intellectual journey world outlier best brightest famous successful he asks question make high achiever different his answer pay much attention successful people like little attention culture family generation idiosyncratic experience upbringing along way explains secret software billionaire take great soccer player asian good math made beatles greatest rock band,3
Market Wizards: Interviews with Top Traders,Jack D. Schwager,4.6,610.0,836.0,83,ance,881.0,important update this audio new recording dj holte replaced original inferior recording also contains text added revised edition market wizard,3
365 Panchatantra Stories,Adil Mukesh,4.2,424.0,668.0,88,Children's Traditional Stories (Books),449.0,the story panchatantra ancient indian fable written sanskrit pali language the central character fascinating fable many time animal bird they show identifying characteristic various story impart valuable life lesson moral,2
Astrophysics for People in a Hurry,Neil deGrasse Tyson,4.6,7285.0,585.0,203,Astronomy (Books),221.0,what nature space time how fit within universe how universe fit within u there better guide question acclaimed astrophysicist author neil degrasse tyson,3
365 Tales of Indian Mythology,Om Books International,4.4,238.0,836.0,81,Children's Traditional Stories (Books),601.0,one treat day a series treat story fact question answer science experiment young listener,2
