Book Name,Author,Description,Rating,Number of Reviews,Price,Rank,Genre,Listening Time (minutes)
Think Like a Monk: The Secret of How to Harness the Power of Positivity and Be Happy Now,Jay Shetty,"Over the past three years, Jay Shetty has become one of the world’s most popular influencers. One of his clips was the most watched video on Facebook last year, with more than 360 million views. His social media following totals more than 32 million, he has produced more than 400 viral videos which have amassed more than five billion views, and his podcast, On Purpose, is consistently ranked the world’s number one health-related podcast.  ",4.9,342.0,10080.0,1,Society & Culture (Books),654.0
Ikigai: The Japanese Secret to a Long and Happy Life,Héctor García,Brought to you by Penguin.,4.6,3670.0,615.0,2,Personal Success,203.0
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,"In this generation-defining self-help guide, a superstar blogger cuts through the crap to show us how to stop trying to be positive all the time so that we can truly become better, happier people. ",4.4,20240.0,10378.0,3,Personal Development & Self-Help,317.0
Atomic Habits: An Easy and Proven Way to Build Good Habits and Break Bad Ones,James Clear,Brought to you by Penguin.,4.6,4646.0,888.0,5,Personal Success,335.0
Life's Amazing Secrets: How to Find Balance and Purpose in Your Life,Gaur Gopal Das,"Stop going through life,  Start growing through life!",4.6,4305.0,1005.0,6,Spiritualism,385.0
Extraordinary Leadership,Robin Sharma,"
By completing your purchase you agree to Audible’s  Conditions of Use, Amazon's Privacy Notice and if applicable Audible's Recurring Payment Terms.
",4.1,179.0,0.0,1,ess Careers,66.0
Sapiens,Yuval Noah Harari,Fire gave us power. Farming made us hungry for more. Money gave us purpose. Science made us deadly. ,4.6,20078.5,1093.0,4,Anthropology (Books),918.0
Sapiens,Yuval Noah Harari,New York Times Best Seller  ,4.6,10161.5,1132.0,72,Anthropology (Books),1302.0
The Intelligent Investor Rev Ed.,Benjamin Graham,The Classic Text Annotated to Update Graham's Timeless Wisdom for Today's Market Conditions ,4.4,9296.0,18290.0,7,Analysis & Strategy,1068.0
Rich Dad Poor Dad: What the Rich Teach Their Kids About Money - That the Poor and Middle Class Do Not!,Robert T. Kiyosaki,Rich Dad Poor Dad will…. ,4.5,22029.5,837.0,9,Personal Development & Self-Help,369.0
The 5AM Club: Own Your Morning. Elevate Your Life.,Robin Sharma,"Legendary leadership and elite performance expert Robin Sharma introduced The 5AM Club concept over 20 years ago, based on a revolutionary morning routine that has helped his clients maximise their productivity, activate their best health and bulletproof their serenity in this age of overwhelming complexity.",4.4,5099.0,8735.0,8,g & Wellness,664.0
Dream With Your Eyes Open: An Entrepreneurial Journey,Ronnie Screwvala,"UTV founder and pioneer of the media industry Ronnie Screwvala is one of India’s most successful first-generation entrepreneurs. An avid philanthropist, he has penned Dream with Your Eyes Open: An Entrepreneurial Journey as one of the most inspiring entrepreneurial self-help books. Pictured relaxed and content on the cover page of the book, Screwvala provides a relentless pursuit of entrepreneurial glory and describes how others can learn from the same.  ",3.6,43.0,0.0,2,ess Management,439.0
Influence: The Psychology of Persuasion,Robert B. Cialdini,"Influence, the classic book on persuasion, explains the psychology of why people say yes - and how to apply these understandings. ",4.4,3780.5,12356.0,11,Earth Sciences Books,606.0
The Sandman,Neil Gaiman,"Please note: This content is not for kids. It is for mature audiences only. Just like the original graphic novels, this audio adaptation contains explicit language and graphic violence, as well as strong sexual content and themes. Discretion is advised. ",5.0,1.0,1171.0,16,Fantasy (Books),654.0
The Alchemist: A Fable About Following Your Dream,Paulo Coelho,"
By completing your purchase you agree to Audible’s  Conditions of Use, Amazon's Privacy Notice and if applicable Audible's Recurring Payment Terms.
",4.6,28168.0,10378.0,10,"Crime, Thriller & Mystery (Books)",240.0
How to Win Friends and Influence People,Dale Carnegie,"How to Win Friends and Influence People is a self-help book which is the pioneer of this genre. Written by Dale Carnegie and published in 1936, it has sold over 30 million copies. It has been edited and re-printed several times. ",4.5,20936.0,668.0,18,Personal Development & Self-Help,485.0
"Thinking, Fast and Slow",Daniel Kahneman,Brought to you by Penguin.,4.4,9819.5,1093.0,13,Personal Success,1201.0
Sherlock Holmes: The Definitive Collection,Arthur Conan Doyle,"Now updated to include Chapter Name Information, so you can easily find your favourite story or novel",5.0,6.0,3037.0,15,"Crime, Thriller & Mystery (Books)",4317.0
Becoming,Michelle Obama,Penguin presents the audiobook edition of Becoming by Michelle Obama.,4.6,13894.5,1093.0,12,Biographies & Autobiographies (Books),1143.0
Just Do It: The Nike Spirit in the Corporate World,Donald Katz,"The protagonist of Just Do It is Phil Knight, a reclusive billionaire who started a two-man operation importing Japanese running shoes and built it into a $4 billion company. Irreverent, unpredictable, and leery of the sports establishment, Knight created the most muscular jock culture in business, a place where employees routinely took two hours at lunch to work out and then strategized late into the night in their holy war against competitors Reebok and Adidas. To outsiders, Nike was a cult. Insiders believed they were furthering the company's mission: to improve the performance of serious athletes. ",4.0,37.5,0.0,3,Biographies of Actors,840.0
The Warren Buffett Way: 3rd Edition,Robert Hagstrom,"Warren Buffett remains one of the most sought-after and watched figures in business today. He has become a billionaire and investment sage by buying chunks of companies and holding onto them, managing them as businesses, and eventually reaping huge profits for himself and investors in Berkshire Hathaway. The first two editions of The Warren Buffett Way gave investors their first in-depth look at the innovative investment and business strategies behind the spectacular success of living legend Warren E. Buffett. Tracing Warren Buffett's career from the beginning, Hagstrom told listeners exactly how, starting with an initial investment of only $100 Buffett built a business empire and has an estimated net worth of $44 billion. The Third Edition of The Warren Buffett Way will focus on the timeless principles and strategies behind Buffett's extraordinary investment success. There will be new chapters on the important distinctions between investment and trading and an examination of the most successful disciples of Warren Buffett. Some less important material will be deleted and the overall focus will be to create an edition that will stand the test of time, distilling Buffett's success formula in a way that will provide value to listeners for decades to come.",4.2,72.0,1005.0,17,ance,631.0
21 Lessons for the 21st Century,Yuval Noah Harari,Brought to you by Penguin.,4.4,2823.0,1093.0,14,Political Theory,701.0
"Let's Talk Money: You've Worked Hard for It, Now Make It Work for You",Monika Halan,"We work hard to earn our money. But regardless of how much we earn, the money worry never goes away. Bills, rent, EMIs, medical costs, vacations, kids' education and, somewhere at the back of the head, the niggling thought about being under-prepared for our own retirement. ",4.4,419.0,668.0,19,Personal Development & Self-Help,356.0
Elon Musk,Ashlee Vance,Brought to you by Penguin.,4.5,6473.5,888.0,23,ess Leaders,803.0
The Monk Who Sold His Ferrari,Robin Sharma,"Author Robin Sharma reads this international best-seller, allowing you to gain the wisdom and lessons from the original book while you commute. This abridged audiobook is one of Sharma Leadership International's all-time best-selling audio products.",4.6,7579.0,351.0,22,Spirituality (Books),160.0
The Power of Your Subconscious Mind,Joseph Murphy,"""The Power of Your Subconscious Mind"" will open a world of success, happiness, prosperity, and peace for you. It is one of the most brilliant and beloved spiritual self-help works of all time which can help you heal yourself, banish your fears, sleep better, enjoy better relationships and just feel happier. The techniques are simple and results come quickly. You can improve your relationships, your finances, your physical well-being.",4.5,18355.5,99.0,30,"d, Body & Spirit",433.0
Raavan: Enemy of Aryavarta,Amish Tripathi,"Without the darkness, light has no purpose. ",4.5,4480.0,836.0,39,Fantasy (Books),692.0
"The Power of Habit: Why We Do What We Do, and How to Change",Charles Duhigg,Brought to you by Penguin.,4.5,6717.5,888.0,24,Personal Success,653.0
